Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-032-2_S32_L002_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 14.0)	(22.0, 39.0)	(23.0, 88.0)	(24.0, 165.0)	(25.0, 280.0)	(26.0, 472.0)	(27.0, 847.0)	(28.0, 1258.0)	(29.0, 1736.0)	(30.0, 2498.0)	(31.0, 3293.0)	(32.0, 4718.0)	(33.0, 7553.0)	(34.0, 12766.0)	(35.0, 26812.0)	(36.0, 39398.0)	(37.0, 58.0)
Bch-16S-V3V4-032-2_S32_L002_R2_001	(12.0, 6.0)	(13.0, 30.0)	(14.0, 81.0)	(15.0, 77.0)	(16.0, 40.0)	(17.0, 26.0)	(18.0, 21.0)	(19.0, 24.0)	(20.0, 50.0)	(21.0, 91.0)	(22.0, 144.0)	(23.0, 201.0)	(24.0, 296.0)	(25.0, 305.0)	(26.0, 504.0)	(27.0, 790.0)	(28.0, 1142.0)	(29.0, 1702.0)	(30.0, 2641.0)	(31.0, 3955.0)	(32.0, 6152.0)	(33.0, 9134.0)	(34.0, 13956.0)	(35.0, 27651.0)	(36.0, 32919.0)	(37.0, 63.0)										
Bch-16S-V3V4-033-2_S33_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 11.0)	(21.0, 14.0)	(22.0, 56.0)	(23.0, 145.0)	(24.0, 241.0)	(25.0, 489.0)	(26.0, 762.0)	(27.0, 1249.0)	(28.0, 1748.0)	(29.0, 2353.0)	(30.0, 3098.0)	(31.0, 4317.0)	(32.0, 6287.0)	(33.0, 10048.0)	(34.0, 16166.0)	(35.0, 32253.0)	(36.0, 33538.0)	(37.0, 13.0)
Bch-16S-V3V4-033-2_S33_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 32.0)	(14.0, 76.0)	(15.0, 101.0)	(16.0, 62.0)	(17.0, 27.0)	(18.0, 31.0)	(19.0, 27.0)	(20.0, 67.0)	(21.0, 100.0)	(22.0, 162.0)	(23.0, 220.0)	(24.0, 285.0)	(25.0, 374.0)	(26.0, 508.0)	(27.0, 763.0)	(28.0, 1216.0)	(29.0, 1762.0)	(30.0, 2783.0)	(31.0, 4156.0)	(32.0, 6488.0)	(33.0, 9872.0)	(34.0, 15362.0)	(35.0, 30418.0)	(36.0, 37830.0)	(37.0, 61.0)
Bch-16S-V3V4-034-2_S34_L002_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 6.0)	(21.0, 9.0)	(22.0, 45.0)	(23.0, 116.0)	(24.0, 235.0)	(25.0, 448.0)	(26.0, 735.0)	(27.0, 1023.0)	(28.0, 1546.0)	(29.0, 2082.0)	(30.0, 2901.0)	(31.0, 3925.0)	(32.0, 5483.0)	(33.0, 8910.0)	(34.0, 14791.0)	(35.0, 30098.0)	(36.0, 40487.0)	(37.0, 39.0)
Bch-16S-V3V4-034-2_S34_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 39.0)	(14.0, 70.0)	(15.0, 73.0)	(16.0, 53.0)	(17.0, 27.0)	(18.0, 34.0)	(19.0, 27.0)	(20.0, 68.0)	(21.0, 130.0)	(22.0, 164.0)	(23.0, 288.0)	(24.0, 343.0)	(25.0, 424.0)	(26.0, 594.0)	(27.0, 900.0)	(28.0, 1284.0)	(29.0, 2069.0)	(30.0, 3008.0)	(31.0, 4402.0)	(32.0, 6856.0)	(33.0, 10054.0)	(34.0, 15461.0)	(35.0, 30725.0)	(36.0, 35732.0)	(37.0, 51.0)
Bch-16S-V3V4-035-2_S35_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 10.0)	(21.0, 34.0)	(22.0, 89.0)	(23.0, 171.0)	(24.0, 394.0)	(25.0, 764.0)	(26.0, 1181.0)	(27.0, 1883.0)	(28.0, 2696.0)	(29.0, 3693.0)	(30.0, 5165.0)	(31.0, 7597.0)	(32.0, 10509.0)	(33.0, 15457.0)	(34.0, 23754.0)	(35.0, 26932.0)	(36.0, 6642.0)	(37.0, 2.0)
Bch-16S-V3V4-035-2_S35_L002_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 20.0)	(14.0, 59.0)	(15.0, 80.0)	(16.0, 45.0)	(17.0, 44.0)	(18.0, 27.0)	(19.0, 41.0)	(20.0, 55.0)	(21.0, 88.0)	(22.0, 157.0)	(23.0, 186.0)	(24.0, 298.0)	(25.0, 362.0)	(26.0, 523.0)	(27.0, 855.0)	(28.0, 1403.0)	(29.0, 2216.0)	(30.0, 3453.0)	(31.0, 5187.0)	(32.0, 7795.0)	(33.0, 11573.0)	(34.0, 18762.0)	(35.0, 32720.0)	(36.0, 21006.0)	(37.0, 19.0)
Bch-16S-V3V4-036-2_S36_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 0.0)	(20.0, 6.0)	(21.0, 14.0)	(22.0, 54.0)	(23.0, 104.0)	(24.0, 177.0)	(25.0, 286.0)	(26.0, 542.0)	(27.0, 781.0)	(28.0, 1308.0)	(29.0, 1701.0)	(30.0, 2356.0)	(31.0, 3197.0)	(32.0, 4560.0)	(33.0, 7148.0)	(34.0, 12183.0)	(35.0, 24608.0)	(36.0, 36721.0)	(37.0, 43.0)
Bch-16S-V3V4-036-2_S36_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 34.0)	(14.0, 103.0)	(15.0, 117.0)	(16.0, 61.0)	(17.0, 42.0)	(18.0, 31.0)	(19.0, 37.0)	(20.0, 51.0)	(21.0, 89.0)	(22.0, 146.0)	(23.0, 216.0)	(24.0, 317.0)	(25.0, 310.0)	(26.0, 466.0)	(27.0, 727.0)	(28.0, 1083.0)	(29.0, 1684.0)	(30.0, 2521.0)	(31.0, 3729.0)	(32.0, 5615.0)	(33.0, 8400.0)	(34.0, 13197.0)	(35.0, 26245.0)	(36.0, 30521.0)	(37.0, 45.0)
Bch-16S-V3V4-037-2_S37_L002_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 16.0)	(21.0, 45.0)	(22.0, 172.0)	(23.0, 372.0)	(24.0, 722.0)	(25.0, 1326.0)	(26.0, 2154.0)	(27.0, 3026.0)	(28.0, 4499.0)	(29.0, 6420.0)	(30.0, 8782.0)	(31.0, 12692.0)	(32.0, 17307.0)	(33.0, 20580.0)	(34.0, 15219.0)	(35.0, 4883.0)	(36.0, 453.0)														
Bch-16S-V3V4-037-2_S37_L002_R2_001	(12.0, 12.0)	(13.0, 37.0)	(14.0, 64.0)	(15.0, 69.0)	(16.0, 80.0)	(17.0, 33.0)	(18.0, 32.0)	(19.0, 48.0)	(20.0, 59.0)	(21.0, 101.0)	(22.0, 130.0)	(23.0, 181.0)	(24.0, 238.0)	(25.0, 310.0)	(26.0, 464.0)	(27.0, 789.0)	(28.0, 1235.0)	(29.0, 1985.0)	(30.0, 3236.0)	(31.0, 5040.0)	(32.0, 7625.0)	(33.0, 12299.0)	(34.0, 21113.0)	(35.0, 31225.0)	(36.0, 12265.0)	(37.0, 3.0)										
Bch-16S-V3V4-038-2_S38_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 7.0)	(21.0, 41.0)	(22.0, 95.0)	(23.0, 216.0)	(24.0, 375.0)	(25.0, 619.0)	(26.0, 1034.0)	(27.0, 1585.0)	(28.0, 2126.0)	(29.0, 2856.0)	(30.0, 4061.0)	(31.0, 5669.0)	(32.0, 8425.0)	(33.0, 12772.0)	(34.0, 20476.0)	(35.0, 38617.0)	(36.0, 32095.0)	(37.0, 14.0)
Bch-16S-V3V4-038-2_S38_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 31.0)	(14.0, 126.0)	(15.0, 146.0)	(16.0, 83.0)	(17.0, 43.0)	(18.0, 22.0)	(19.0, 43.0)	(20.0, 68.0)	(21.0, 114.0)	(22.0, 174.0)	(23.0, 294.0)	(24.0, 428.0)	(25.0, 369.0)	(26.0, 495.0)	(27.0, 844.0)	(28.0, 1258.0)	(29.0, 2000.0)	(30.0, 3150.0)	(31.0, 4929.0)	(32.0, 7661.0)	(33.0, 11652.0)	(34.0, 18410.0)	(35.0, 36127.0)	(36.0, 42553.0)	(37.0, 69.0)
Bch-16S-V3V4-039-2_S39_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 1.0)	(20.0, 10.0)	(21.0, 21.0)	(22.0, 94.0)	(23.0, 186.0)	(24.0, 294.0)	(25.0, 391.0)	(26.0, 709.0)	(27.0, 1128.0)	(28.0, 1529.0)	(29.0, 2119.0)	(30.0, 2882.0)	(31.0, 4024.0)	(32.0, 5960.0)	(33.0, 9029.0)	(34.0, 14341.0)	(35.0, 28785.0)	(36.0, 28880.0)	(37.0, 16.0)
Bch-16S-V3V4-039-2_S39_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 42.0)	(14.0, 94.0)	(15.0, 97.0)	(16.0, 57.0)	(17.0, 26.0)	(18.0, 24.0)	(19.0, 23.0)	(20.0, 28.0)	(21.0, 89.0)	(22.0, 153.0)	(23.0, 258.0)	(24.0, 367.0)	(25.0, 359.0)	(26.0, 424.0)	(27.0, 686.0)	(28.0, 1023.0)	(29.0, 1650.0)	(30.0, 2591.0)	(31.0, 3945.0)	(32.0, 5892.0)	(33.0, 9200.0)	(34.0, 14156.0)	(35.0, 28046.0)	(36.0, 31116.0)	(37.0, 50.0)
Bch-16S-V3V4-040-2_S40_L002_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 4.0)	(21.0, 16.0)	(22.0, 50.0)	(23.0, 122.0)	(24.0, 202.0)	(25.0, 354.0)	(26.0, 649.0)	(27.0, 982.0)	(28.0, 1397.0)	(29.0, 1918.0)	(30.0, 2509.0)	(31.0, 3498.0)	(32.0, 5213.0)	(33.0, 7970.0)	(34.0, 13152.0)	(35.0, 26768.0)	(36.0, 32295.0)	(37.0, 50.0)
Bch-16S-V3V4-040-2_S40_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 35.0)	(14.0, 80.0)	(15.0, 107.0)	(16.0, 66.0)	(17.0, 35.0)	(18.0, 22.0)	(19.0, 31.0)	(20.0, 51.0)	(21.0, 89.0)	(22.0, 136.0)	(23.0, 204.0)	(24.0, 327.0)	(25.0, 346.0)	(26.0, 478.0)	(27.0, 708.0)	(28.0, 1026.0)	(29.0, 1640.0)	(30.0, 2467.0)	(31.0, 3739.0)	(32.0, 5661.0)	(33.0, 8381.0)	(34.0, 13195.0)	(35.0, 26066.0)	(36.0, 32212.0)	(37.0, 49.0)
Bch-16S-V3V4-041-2_S41_L002_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 8.0)	(20.0, 34.0)	(21.0, 74.0)	(22.0, 174.0)	(23.0, 305.0)	(24.0, 639.0)	(25.0, 1089.0)	(26.0, 1791.0)	(27.0, 2518.0)	(28.0, 3452.0)	(29.0, 4889.0)	(30.0, 6764.0)	(31.0, 9556.0)	(32.0, 12655.0)	(33.0, 18369.0)	(34.0, 27727.0)	(35.0, 29864.0)	(36.0, 6335.0)	(37.0, 2.0)
Bch-16S-V3V4-041-2_S41_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 42.0)	(14.0, 150.0)	(15.0, 153.0)	(16.0, 100.0)	(17.0, 26.0)	(18.0, 29.0)	(19.0, 32.0)	(20.0, 43.0)	(21.0, 93.0)	(22.0, 127.0)	(23.0, 196.0)	(24.0, 424.0)	(25.0, 312.0)	(26.0, 409.0)	(27.0, 616.0)	(28.0, 992.0)	(29.0, 1660.0)	(30.0, 2695.0)	(31.0, 4086.0)	(32.0, 6861.0)	(33.0, 11235.0)	(34.0, 18647.0)	(35.0, 38146.0)	(36.0, 39101.0)	(37.0, 68.0)
Bch-16S-V3V4-042-2_S42_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 15.0)	(22.0, 56.0)	(23.0, 110.0)	(24.0, 252.0)	(25.0, 369.0)	(26.0, 578.0)	(27.0, 976.0)	(28.0, 1380.0)	(29.0, 1834.0)	(30.0, 2460.0)	(31.0, 3299.0)	(32.0, 4820.0)	(33.0, 7620.0)	(34.0, 13100.0)	(35.0, 27120.0)	(36.0, 45280.0)	(37.0, 101.0)
Bch-16S-V3V4-042-2_S42_L002_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 25.0)	(14.0, 101.0)	(15.0, 110.0)	(16.0, 63.0)	(17.0, 35.0)	(18.0, 19.0)	(19.0, 33.0)	(20.0, 53.0)	(21.0, 124.0)	(22.0, 157.0)	(23.0, 261.0)	(24.0, 390.0)	(25.0, 379.0)	(26.0, 501.0)	(27.0, 806.0)	(28.0, 1211.0)	(29.0, 1766.0)	(30.0, 2658.0)	(31.0, 4181.0)	(32.0, 6119.0)	(33.0, 9524.0)	(34.0, 14482.0)	(35.0, 28806.0)	(36.0, 37503.0)	(37.0, 63.0)
Bch-16S-V3V4-043-2_S43_L002_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 7.0)	(20.0, 10.0)	(21.0, 46.0)	(22.0, 110.0)	(23.0, 276.0)	(24.0, 486.0)	(25.0, 740.0)	(26.0, 1248.0)	(27.0, 1861.0)	(28.0, 2442.0)	(29.0, 3247.0)	(30.0, 4444.0)	(31.0, 6055.0)	(32.0, 8971.0)	(33.0, 13783.0)	(34.0, 22092.0)	(35.0, 43607.0)	(36.0, 39662.0)	(37.0, 23.0)
Bch-16S-V3V4-043-2_S43_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 37.0)	(14.0, 140.0)	(15.0, 157.0)	(16.0, 78.0)	(17.0, 40.0)	(18.0, 39.0)	(19.0, 38.0)	(20.0, 56.0)	(21.0, 147.0)	(22.0, 190.0)	(23.0, 288.0)	(24.0, 508.0)	(25.0, 478.0)	(26.0, 633.0)	(27.0, 947.0)	(28.0, 1545.0)	(29.0, 2343.0)	(30.0, 3551.0)	(31.0, 5514.0)	(32.0, 8364.0)	(33.0, 12999.0)	(34.0, 20175.0)	(35.0, 40207.0)	(36.0, 50545.0)	(37.0, 88.0)
Bch-16S-V3V4-044-2_S44_L002_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 8.0)	(21.0, 34.0)	(22.0, 63.0)	(23.0, 160.0)	(24.0, 332.0)	(25.0, 482.0)	(26.0, 863.0)	(27.0, 1288.0)	(28.0, 1783.0)	(29.0, 2378.0)	(30.0, 2956.0)	(31.0, 4089.0)	(32.0, 5761.0)	(33.0, 9180.0)	(34.0, 15608.0)	(35.0, 32403.0)	(36.0, 50653.0)	(37.0, 91.0)
Bch-16S-V3V4-044-2_S44_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 46.0)	(14.0, 113.0)	(15.0, 135.0)	(16.0, 70.0)	(17.0, 34.0)	(18.0, 39.0)	(19.0, 45.0)	(20.0, 87.0)	(21.0, 132.0)	(22.0, 231.0)	(23.0, 320.0)	(24.0, 466.0)	(25.0, 531.0)	(26.0, 738.0)	(27.0, 1008.0)	(28.0, 1507.0)	(29.0, 2342.0)	(30.0, 3533.0)	(31.0, 5134.0)	(32.0, 7550.0)	(33.0, 11243.0)	(34.0, 17516.0)	(35.0, 34606.0)	(36.0, 40635.0)	(37.0, 64.0)
Bch-16S-V3V4-045-2_S45_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 10.0)	(21.0, 18.0)	(22.0, 64.0)	(23.0, 167.0)	(24.0, 350.0)	(25.0, 554.0)	(26.0, 972.0)	(27.0, 1373.0)	(28.0, 1961.0)	(29.0, 2533.0)	(30.0, 3336.0)	(31.0, 4494.0)	(32.0, 6442.0)	(33.0, 10208.0)	(34.0, 16804.0)	(35.0, 34412.0)	(36.0, 41283.0)	(37.0, 58.0)
Bch-16S-V3V4-045-2_S45_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 11.0)	(13.0, 43.0)	(14.0, 138.0)	(15.0, 139.0)	(16.0, 93.0)	(17.0, 41.0)	(18.0, 33.0)	(19.0, 31.0)	(20.0, 49.0)	(21.0, 148.0)	(22.0, 204.0)	(23.0, 338.0)	(24.0, 488.0)	(25.0, 525.0)	(26.0, 705.0)	(27.0, 1084.0)	(28.0, 1600.0)	(29.0, 2564.0)	(30.0, 3638.0)	(31.0, 5577.0)	(32.0, 8146.0)	(33.0, 11899.0)	(34.0, 18534.0)	(35.0, 35090.0)	(36.0, 33876.0)	(37.0, 46.0)
Bch-16S-V3V4-046-2_S46_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 5.0)	(21.0, 14.0)	(22.0, 57.0)	(23.0, 144.0)	(24.0, 229.0)	(25.0, 421.0)	(26.0, 693.0)	(27.0, 1181.0)	(28.0, 1654.0)	(29.0, 2316.0)	(30.0, 3023.0)	(31.0, 3990.0)	(32.0, 5890.0)	(33.0, 9124.0)	(34.0, 15664.0)	(35.0, 31683.0)	(36.0, 52438.0)	(37.0, 111.0)
Bch-16S-V3V4-046-2_S46_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 29.0)	(14.0, 131.0)	(15.0, 125.0)	(16.0, 82.0)	(17.0, 30.0)	(18.0, 30.0)	(19.0, 36.0)	(20.0, 66.0)	(21.0, 113.0)	(22.0, 186.0)	(23.0, 269.0)	(24.0, 425.0)	(25.0, 474.0)	(26.0, 668.0)	(27.0, 955.0)	(28.0, 1447.0)	(29.0, 2148.0)	(30.0, 3320.0)	(31.0, 5011.0)	(32.0, 7576.0)	(33.0, 11289.0)	(34.0, 17272.0)	(35.0, 34421.0)	(36.0, 42466.0)	(37.0, 67.0)
Bch-16S-V3V4-047-2_S47_L002_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 22.0)	(22.0, 57.0)	(23.0, 149.0)	(24.0, 232.0)	(25.0, 395.0)	(26.0, 664.0)	(27.0, 1063.0)	(28.0, 1483.0)	(29.0, 1940.0)	(30.0, 2553.0)	(31.0, 3446.0)	(32.0, 5121.0)	(33.0, 7820.0)	(34.0, 13441.0)	(35.0, 27153.0)	(36.0, 40361.0)	(37.0, 52.0)
Bch-16S-V3V4-047-2_S47_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 34.0)	(14.0, 124.0)	(15.0, 119.0)	(16.0, 67.0)	(17.0, 36.0)	(18.0, 31.0)	(19.0, 31.0)	(20.0, 52.0)	(21.0, 103.0)	(22.0, 187.0)	(23.0, 247.0)	(24.0, 411.0)	(25.0, 399.0)	(26.0, 553.0)	(27.0, 828.0)	(28.0, 1214.0)	(29.0, 1856.0)	(30.0, 2960.0)	(31.0, 4437.0)	(32.0, 6462.0)	(33.0, 9448.0)	(34.0, 14810.0)	(35.0, 28980.0)	(36.0, 32530.0)	(37.0, 37.0)
Bch-16S-V3V4-048-2_S48_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 4.0)	(21.0, 21.0)	(22.0, 63.0)	(23.0, 132.0)	(24.0, 269.0)	(25.0, 391.0)	(26.0, 736.0)	(27.0, 1177.0)	(28.0, 1688.0)	(29.0, 2189.0)	(30.0, 2933.0)	(31.0, 3785.0)	(32.0, 5599.0)	(33.0, 8875.0)	(34.0, 14786.0)	(35.0, 30219.0)	(36.0, 41030.0)	(37.0, 45.0)
