Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-011-2_S11_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 9.0)	(20.0, 39.0)	(21.0, 85.0)	(22.0, 165.0)	(23.0, 328.0)	(24.0, 703.0)	(25.0, 1292.0)	(26.0, 2142.0)	(27.0, 3176.0)	(28.0, 4546.0)	(29.0, 6237.0)	(30.0, 8160.0)	(31.0, 10889.0)	(32.0, 14342.0)	(33.0, 18743.0)	(34.0, 17746.0)	(35.0, 7163.0)	(36.0, 566.0)	(37.0, 1.0)
Bch-16S-V3V4-011-2_S11_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 24.0)	(14.0, 67.0)	(15.0, 77.0)	(16.0, 53.0)	(17.0, 23.0)	(18.0, 11.0)	(19.0, 19.0)	(20.0, 38.0)	(21.0, 61.0)	(22.0, 81.0)	(23.0, 134.0)	(24.0, 259.0)	(25.0, 155.0)	(26.0, 242.0)	(27.0, 371.0)	(28.0, 546.0)	(29.0, 976.0)	(30.0, 1623.0)	(31.0, 2736.0)	(32.0, 4716.0)	(33.0, 7732.0)	(34.0, 13303.0)	(35.0, 29723.0)	(36.0, 33331.0)	(37.0, 38.0)
Bch-16S-V3V4-012-2_S12_L002_R1_001	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 4.0)	(21.0, 10.0)	(22.0, 43.0)	(23.0, 83.0)	(24.0, 136.0)	(25.0, 157.0)	(26.0, 247.0)	(27.0, 471.0)	(28.0, 635.0)	(29.0, 956.0)	(30.0, 1324.0)	(31.0, 1823.0)	(32.0, 2693.0)	(33.0, 4203.0)	(34.0, 6642.0)	(35.0, 12954.0)	(36.0, 14086.0)	(37.0, 9.0)
Bch-16S-V3V4-012-2_S12_L002_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 10.0)	(14.0, 27.0)	(15.0, 29.0)	(16.0, 17.0)	(17.0, 8.0)	(18.0, 14.0)	(19.0, 16.0)	(20.0, 16.0)	(21.0, 39.0)	(22.0, 78.0)	(23.0, 120.0)	(24.0, 186.0)	(25.0, 146.0)	(26.0, 200.0)	(27.0, 295.0)	(28.0, 481.0)	(29.0, 684.0)	(30.0, 1131.0)	(31.0, 1722.0)	(32.0, 2775.0)	(33.0, 4194.0)	(34.0, 6507.0)	(35.0, 12696.0)	(36.0, 15057.0)	(37.0, 29.0)
Bch-16S-V3V4-013-2_S13_L002_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 11.0)	(21.0, 30.0)	(22.0, 92.0)	(23.0, 233.0)	(24.0, 353.0)	(25.0, 608.0)	(26.0, 1017.0)	(27.0, 1592.0)	(28.0, 2223.0)	(29.0, 3053.0)	(30.0, 4157.0)	(31.0, 5969.0)	(32.0, 8642.0)	(33.0, 12749.0)	(34.0, 19984.0)	(35.0, 36729.0)	(36.0, 24193.0)	(37.0, 12.0)
Bch-16S-V3V4-013-2_S13_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 29.0)	(14.0, 100.0)	(15.0, 93.0)	(16.0, 51.0)	(17.0, 37.0)	(18.0, 24.0)	(19.0, 33.0)	(20.0, 52.0)	(21.0, 110.0)	(22.0, 180.0)	(23.0, 264.0)	(24.0, 356.0)	(25.0, 329.0)	(26.0, 452.0)	(27.0, 704.0)	(28.0, 1026.0)	(29.0, 1669.0)	(30.0, 2608.0)	(31.0, 4248.0)	(32.0, 6652.0)	(33.0, 10175.0)	(34.0, 16293.0)	(35.0, 33402.0)	(36.0, 42683.0)	(37.0, 79.0)
Bch-16S-V3V4-014-2_S14_L002_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 5.0)	(21.0, 22.0)	(22.0, 67.0)	(23.0, 165.0)	(24.0, 215.0)	(25.0, 308.0)	(26.0, 495.0)	(27.0, 895.0)	(28.0, 1187.0)	(29.0, 1603.0)	(30.0, 2163.0)	(31.0, 2916.0)	(32.0, 4375.0)	(33.0, 6836.0)	(34.0, 11167.0)	(35.0, 22760.0)	(36.0, 30711.0)	(37.0, 42.0)
Bch-16S-V3V4-014-2_S14_L002_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 30.0)	(14.0, 66.0)	(15.0, 61.0)	(16.0, 47.0)	(17.0, 20.0)	(18.0, 27.0)	(19.0, 18.0)	(20.0, 42.0)	(21.0, 92.0)	(22.0, 164.0)	(23.0, 212.0)	(24.0, 379.0)	(25.0, 299.0)	(26.0, 424.0)	(27.0, 642.0)	(28.0, 935.0)	(29.0, 1420.0)	(30.0, 2302.0)	(31.0, 3337.0)	(32.0, 4870.0)	(33.0, 7542.0)	(34.0, 11597.0)	(35.0, 23592.0)	(36.0, 27774.0)	(37.0, 40.0)
Bch-16S-V3V4-015-2_S15_L002_R1_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 11.0)	(21.0, 28.0)	(22.0, 79.0)	(23.0, 241.0)	(24.0, 403.0)	(25.0, 466.0)	(26.0, 811.0)	(27.0, 1274.0)	(28.0, 1824.0)	(29.0, 2591.0)	(30.0, 3525.0)	(31.0, 5003.0)	(32.0, 7340.0)	(33.0, 10886.0)	(34.0, 16943.0)	(35.0, 33127.0)	(36.0, 29410.0)	(37.0, 17.0)
Bch-16S-V3V4-015-2_S15_L002_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 2.0)	(13.0, 43.0)	(14.0, 109.0)	(15.0, 98.0)	(16.0, 61.0)	(17.0, 33.0)	(18.0, 34.0)	(19.0, 36.0)	(20.0, 67.0)	(21.0, 103.0)	(22.0, 171.0)	(23.0, 246.0)	(24.0, 551.0)	(25.0, 349.0)	(26.0, 515.0)	(27.0, 782.0)	(28.0, 1269.0)	(29.0, 1861.0)	(30.0, 2932.0)	(31.0, 4547.0)	(32.0, 6812.0)	(33.0, 10383.0)	(34.0, 16333.0)	(35.0, 32108.0)	(36.0, 34493.0)	(37.0, 48.0)
