Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-012-2_S12_L002_R1_001	(1.0, 9.234839847699357)	(2.0, 2.9427581904618494)	(3.0, 1.9618387936412331)	(4.0, 1.5918428808053866)	(5.0, 1.4842859293996171)	(6.0, 1.1745219093510013)	(7.0, 1.6413190784520404)	(8.0, 0.9981285090455396)	(9.0, 1.1035343214231936)	('>10', 20.45948329640545)	('>50', 11.106330802159743)	('>100', 33.426549357885)	('>500', 10.465291371781358)	('>1k', 2.4092757114892334)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-012-2_S12_L002_R2_001	(1.0, 8.761589261513972)	(2.0, 2.990083249080388)	(3.0, 1.8521307032073484)	(4.0, 1.566029212468002)	(5.0, 1.505797319680771)	(6.0, 1.2132424118570784)	(7.0, 1.1745219093510013)	(8.0, 0.9465011723707704)	(9.0, 1.200335577688386)	('>10', 20.586400499064254)	('>50', 10.990169294641513)	('>100', 26.400929292060145)	('>500', 18.58799234194506)	('>1k', 2.22427775507131)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-013-2_S13_L002_R1_001	(1.0, 7.987538223785881)	(2.0, 2.285206983855588)	(3.0, 1.4105810015453917)	(4.0, 1.0488935652517015)	(5.0, 0.9165488442442378)	(6.0, 0.8828461513168709)	(7.0, 0.83434715417749)	(8.0, 0.7628316838194193)	(9.0, 0.5992503205865912)	('>10', 16.78311906092789)	('>50', 9.921743991056456)	('>100', 30.213231184033145)	('>500', 16.92368395094203)	('>1k', 9.430177884457304)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-013-2_S13_L002_R2_001	(1.0, 6.536678394107782)	(2.0, 1.888994837733864)	(3.0, 1.2774142636372605)	(4.0, 1.0028606188143228)	(5.0, 0.846677407687502)	(6.0, 0.6855620951566764)	(7.0, 0.7652977345214218)	(8.0, 0.8351691710781574)	(9.0, 0.6584355374346497)	('>10', 14.491335941866964)	('>50', 8.622135271101174)	('>100', 31.840824647354747)	('>500', 9.795153388353665)	('>1k', 20.75346069115181)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-014-2_S14_L002_R1_001	(1.0, 7.5238538515243185)	(2.0, 2.2504072608796837)	(3.0, 1.4033046311380033)	(4.0, 1.2194554340237374)	(5.0, 1.0181521992087503)	(6.0, 0.914591575517803)	(7.0, 0.9285548056783802)	(8.0, 0.7912497090993718)	(9.0, 0.5759832441238073)	('>10', 20.144286711659298)	('>50', 10.044216895508495)	('>100', 36.03444263439609)	('>500', 14.560158249941821)	('>1k', 2.591342797300442)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-014-2_S14_L002_R2_001	(1.0, 7.343495461950197)	(2.0, 2.171282289969746)	(3.0, 1.3928322085175704)	(4.0, 1.1030951826855946)	(5.0, 0.925063998138236)	(6.0, 0.8098673493134746)	(7.0, 0.8471026297416803)	(8.0, 0.688852687921806)	(9.0, 0.7330695834303003)	('>10', 15.481731440539912)	('>50', 10.517803118454735)	('>100', 29.271584826623226)	('>500', 9.968582732138701)	('>1k', 18.745636490574817)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-015-2_S15_L002_R1_001	(1.0, 7.170678644115376)	(2.0, 2.2843708330409154)	(3.0, 1.3053547617376657)	(4.0, 0.8842725805319671)	(5.0, 0.8114604533651485)	(6.0, 0.7158397080496877)	(7.0, 0.8167239806302197)	(8.0, 0.6456593445154045)	(9.0, 0.7263667625798301)	('>10', 15.887079795073339)	('>50', 8.850621096217278)	('>100', 30.142466137974594)	('>500', 18.172327882658433)	('>1k', 11.586778019510142)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-015-2_S15_L002_R2_001	(1.0, 6.715383535686714)	(2.0, 2.1089199242052072)	(3.0, 1.2606147799845602)	(4.0, 1.0667415257211033)	(5.0, 0.9342760895501439)	(6.0, 0.8211102533511124)	(7.0, 0.5342480174047302)	(8.0, 0.5474068355674082)	(9.0, 0.5526703628324795)	('>10', 12.903537090322128)	('>50', 8.725173696399748)	('>100', 28.558144431188154)	('>500', 7.111902589655414)	('>1k', 28.159870868131097)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-016-2_S16_L002_R1_001	(1.0, 7.171519107779625)	(2.0, 2.2355150702838658)	(3.0, 1.4048499590458934)	(4.0, 1.072252972275311)	(5.0, 0.9638693770839022)	(6.0, 0.7148353148502072)	(7.0, 0.7413106968816964)	(8.0, 0.7744049244210578)	(9.0, 0.7371739184392762)	('>10', 17.330619606675103)	('>50', 8.13373377348656)	('>100', 29.370299585494802)	('>500', 15.801666294356606)	('>1k', 13.547949398926093)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-016-2_S16_L002_R2_001	(1.0, 6.486468597714843)	(2.0, 1.8218372260418474)	(3.0, 1.3328700141477823)	(4.0, 1.0590152812595663)	(5.0, 0.8356292453688765)	(6.0, 0.8190821315991957)	(7.0, 0.7702681459786377)	(8.0, 0.7942614609446748)	(9.0, 0.6776043088684256)	('>10', 14.566424251449941)	('>50', 7.687789057393664)	('>100', 22.85404618299453)	('>500', 16.05235506796727)	('>1k', 24.242349028270745)	('>5k', 0.0)	('>10k+', 0.0)
